p_val;avg_logFC;pct.1;pct.2;p_val_adj;cluster_fine;cluster_coarse;gene;cluster_group
0;2,607292431;0,401;0,03;0;KC.1;Keratinocyte;KRT15;
0;2,135456555;0,77;0,101;0;KC.1;Keratinocyte;KRT14;
0;1,999695974;0,472;0,056;0;KC.1;Keratinocyte;S100A2;
0;1,934993377;0,628;0,069;0;KC.1;Keratinocyte;KRT5;
0;1,872759342;0,648;0,13;0;KC.1;Keratinocyte;PERP;
0;1,674016318;0,432;0,135;0;KC.1;Keratinocyte;MGST1;
0;1,612727579;0,345;0,028;0;KC.1;Keratinocyte;CXADR;
0;1,541623505;0,445;0,049;0;KC.1;Keratinocyte;S100A14;
0;1,53643493;0,268;0,023;0;KC.1;Keratinocyte;COL17A1;
0;1,500784291;0,488;0,066;0;KC.1;Keratinocyte;FXYD3;
0;1,485510662;0,288;0,025;0;KC.1;Keratinocyte;SAA1;
0;1,42488281;0,291;0,025;0;KC.1;Keratinocyte;CALML3;
0;1,417029919;0,49;0,191;0;KC.1;Keratinocyte;DST;
0;1,412102581;0,26;0,024;0;KC.1;Keratinocyte;DAPL1;
0;1,318905803;0,437;0,084;0;KC.1;Keratinocyte;DSP;
0;1,296984761;0,432;0,056;0;KC.1;Keratinocyte;SFN;
0;1,262826361;0,741;0,551;0;KC.1;Keratinocyte;LRRC75A-AS1;
0;1,181868472;0,499;0,234;0;KC.1;Keratinocyte;SLC25A5;
0;1,168208621;0,314;0,102;0;KC.1;Keratinocyte;TKT;
0;1,097567508;0,286;0,04;0;KC.1;Keratinocyte;DSC3;
0;1,043727351;0,303;0,062;0;KC.1;Keratinocyte;SPINT2;
0;1,035429077;0,578;0,261;0;KC.1;Keratinocyte;APOE;
0;1,022210793;0,369;0,144;0;KC.1;Keratinocyte;CHCHD10;
0;1,012465331;0,679;0,491;0;KC.1;Keratinocyte;GAS5;
0;0,962763352;0,728;0,551;0;KC.1;Keratinocyte;SNHG5;
0;0,925702695;0,729;0,616;0;KC.1;Keratinocyte;EEF1G;
0;0,911056811;0,49;0,232;0;KC.1;Keratinocyte;MT1X;
0;0,875142639;0,316;0,083;0;KC.1;Keratinocyte;TSTD1;
0;0,849533498;0,748;0,665;0;KC.1;Keratinocyte;GNB2L1;
0;0,827830982;0,289;0,094;0;KC.1;Keratinocyte;CRNDE;
0;0,826007146;0,261;0,068;0;KC.1;Keratinocyte;AQP3;
7,95E-291;1,260991156;0,401;0,185;1,45E-286;KC.1;Keratinocyte;ATP1B3;
1,40E-287;0,958750983;0,523;0,302;2,56E-283;KC.1;Keratinocyte;ATP5G3;
3,17E-281;0,83132872;0,647;0,499;5,79E-277;KC.1;Keratinocyte;COX4I1;
8,85E-268;0,80135912;0,289;0,105;1,62E-263;KC.1;Keratinocyte;CISD1;
2,74E-256;0,867014873;0,527;0,324;4,99E-252;KC.1;Keratinocyte;UQCRH;
6,55E-247;0,908408488;0,582;0,409;1,19E-242;KC.1;Keratinocyte;EIF3E;
9,47E-220;0,824561228;0,579;0,423;1,73E-215;KC.1;Keratinocyte;EEF1B2;
5,42E-188;0,809648629;0,36;0,183;9,88E-184;KC.1;Keratinocyte;ACADVL;
7,87E-151;0,818451303;0,372;0,218;1,44E-146;KC.1;Keratinocyte;C9orf16;
0;4,148772483;0,614;0,017;0;KC.2;Keratinocyte;KRT1;
0;3,819206751;0,514;0,012;0;KC.2;Keratinocyte;KRTDAP;
0;3,708564521;0,618;0,051;0;KC.2;Keratinocyte;S100A8;
0;3,56980942;0,742;0,039;0;KC.2;Keratinocyte;DMKN;
0;3,45051322;0,423;0,02;0;KC.2;Keratinocyte;S100A7;
0;3,290375747;0,691;0,049;0;KC.2;Keratinocyte;LGALS7B;
0;3,265274898;0,678;0,025;0;KC.2;Keratinocyte;LY6D;
0;3,231772084;0,73;0,236;0;KC.2;Keratinocyte;KRT10;
0;3,09733547;0,526;0,043;0;KC.2;Keratinocyte;S100A9;
0;3,030039938;0,391;0,014;0;KC.2;Keratinocyte;KRT6A;
0;2,98916026;0,376;0,012;0;KC.2;Keratinocyte;KRT16;
0;2,774602974;0,313;0,007;0;KC.2;Keratinocyte;SERPINB4;
0;2,616522202;0,736;0,072;0;KC.2;Keratinocyte;SFN;
0;2,614940826;0,365;0,017;0;KC.2;Keratinocyte;CALML5;
0;2,338097581;0,439;0,024;0;KC.2;Keratinocyte;CCL27;
0;2,333906241;0,343;0,008;0;KC.2;Keratinocyte;SBSN;
0;2,331945502;0,737;0,151;0;KC.2;Keratinocyte;KRT14;
0;2,329222187;0,663;0,109;0;KC.2;Keratinocyte;KRT5;
0;2,300963244;0,698;0,099;0;KC.2;Keratinocyte;DSP;
0;2,213928115;0,569;0,07;0;KC.2;Keratinocyte;AQP3;
0;2,075416005;0,621;0,072;0;KC.2;Keratinocyte;S100A14;
0;2,061267593;0,559;0,047;0;KC.2;Keratinocyte;DSC3;
0;2,045759756;0,76;0,163;0;KC.2;Keratinocyte;PERP;
0;1,939661111;0,513;0,085;0;KC.2;Keratinocyte;S100A2;
0;1,869252862;0,642;0,091;0;KC.2;Keratinocyte;FXYD3;
0;1,855924009;0,434;0,028;0;KC.2;Keratinocyte;DSG1;
0;1,85265439;0,349;0,027;0;KC.2;Keratinocyte;CSTA;
0;1,827367059;0,416;0,021;0;KC.2;Keratinocyte;PKP1;
0;1,705039992;0,294;0,022;0;KC.2;Keratinocyte;SPINK5;
0;1,683612095;0,358;0,02;0;KC.2;Keratinocyte;LYPD3;
0;1,656099762;0,398;0,044;0;KC.2;Keratinocyte;C19orf33;
0;1,63569538;0,363;0,025;0;KC.2;Keratinocyte;DEFB1;
0;1,593221241;0,43;0,059;0;KC.2;Keratinocyte;TACSTD2;
0;1,584225239;0,45;0,056;0;KC.2;Keratinocyte;JUP;
0;1,530621614;0,348;0,065;0;KC.2;Keratinocyte;CRABP2;
0;1,519611396;0,393;0,033;0;KC.2;Keratinocyte;KLF5;
0;1,420890894;0,28;0,045;0;KC.2;Keratinocyte;CALML3;
0;1,384518668;0,336;0,054;0;KC.2;Keratinocyte;TMEM45A;
2,18E-264;1,675092252;0,554;0,202;3,98E-260;KC.2;Keratinocyte;HES1;
1,57E-192;1,615333389;0,546;0,248;2,87E-188;KC.2;Keratinocyte;MT1X;
0;2,161315567;0,534;0,013;0;KC.3;Keratinocyte;CENPF;
0;2,098652326;0,611;0,035;0;KC.3;Keratinocyte;PTTG1;
0;2,083402844;0,533;0,008;0;KC.3;Keratinocyte;TOP2A;
0;2,083387033;0,593;0,016;0;KC.3;Keratinocyte;KIAA0101;
0;2,063520966;0,791;0,134;0;KC.3;Keratinocyte;STMN1;
0;2,032675586;0,798;0,177;0;KC.3;Keratinocyte;HMGB2;
0;1,983365034;0,547;0,01;0;KC.3;Keratinocyte;NUSAP1;
0;1,922727073;0,462;0,005;0;KC.3;Keratinocyte;UBE2C;
0;1,810150645;0,532;0,091;0;KC.3;Keratinocyte;S100A2;
0;1,797577419;0,65;0,117;0;KC.3;Keratinocyte;KRT5;
0;1,78165877;0,826;0,277;0;KC.3;Keratinocyte;H2AFZ;
0;1,741541042;0,67;0,161;0;KC.3;Keratinocyte;KRT14;
0;1,730633064;0,453;0,007;0;KC.3;Keratinocyte;MKI67;
0;1,686971508;0,377;0,005;0;KC.3;Keratinocyte;ASPM;
0;1,483379686;0,488;0,047;0;KC.3;Keratinocyte;CKS2;
0;1,46793542;0,45;0,013;0;KC.3;Keratinocyte;CDK1;
0;1,43387176;0,553;0,086;0;KC.3;Keratinocyte;PCNA;
0;1,419462041;0,408;0,01;0;KC.3;Keratinocyte;TK1;
0;1,402715314;0,536;0,086;0;KC.3;Keratinocyte;SFN;
0;1,394098157;0,474;0,028;0;KC.3;Keratinocyte;CENPW;
0;1,391834266;0,411;0,005;0;KC.3;Keratinocyte;BIRC5;
0;1,376934112;0,406;0,014;0;KC.3;Keratinocyte;PRC1;
0;1,285351576;0,507;0,059;0;KC.3;Keratinocyte;SMC4;
0;1,264971474;0,398;0,065;0;KC.3;Keratinocyte;LGALS7B;
0;1,256712943;0,41;0,015;0;KC.3;Keratinocyte;ZWINT;
0;1,251863016;0,524;0,093;0;KC.3;Keratinocyte;HMGN2;
0;1,246920894;0,309;0,005;0;KC.3;Keratinocyte;GTSE1;
0;1,231557107;0,419;0,044;0;KC.3;Keratinocyte;KIF20B;
0;1,223349638;0,349;0,046;0;KC.3;Keratinocyte;HIST1H1C;
0;1,193983617;0,489;0,083;0;KC.3;Keratinocyte;S100A14;
0;1,189301645;0,37;0,01;0;KC.3;Keratinocyte;TYMS;
0;1,168725065;0,315;0,011;0;KC.3;Keratinocyte;C21orf58;
0;1,14866685;0,36;0,044;0;KC.3;Keratinocyte;KPNA2;
0;1,147622801;0,286;0,004;0;KC.3;Keratinocyte;CDC20;
1,49E-291;1,966427866;0,561;0,15;2,72E-287;KC.3;Keratinocyte;HIST1H4C;
7,09E-279;1,204403479;0,504;0,112;1,29E-274;KC.3;Keratinocyte;DSP;
3,01E-268;1,342904364;0,819;0,396;5,50E-264;KC.3;Keratinocyte;TUBA1B;
1,83E-249;1,180490549;0,627;0,194;3,34E-245;KC.3;Keratinocyte;TUBB4B;
1,54E-182;1,306067898;0,254;0,045;2,82E-178;KC.3;Keratinocyte;LY6D;
3,98E-141;1,229272578;0,261;0,057;7,26E-137;KC.3;Keratinocyte;S100A9;
0;2,748360177;0,805;0,186;0;FB.1;Fibroblast;APOD;Fibroblasts
0;2,52756048;0,329;0,05;0;FB.1;Fibroblast;PTGDS;Fibroblasts
0;2,243683671;0,5;0,053;0;FB.1;Fibroblast;C3;Fibroblasts
0;2,229109246;0,935;0,208;0;FB.1;Fibroblast;CFD;Fibroblasts
0;2,067538462;0,348;0,048;0;FB.1;Fibroblast;PLA2G2A;Fibroblasts
0;1,975603589;0,645;0,129;0;FB.1;Fibroblast;CFH;Fibroblasts
0;1,923440698;0,794;0,19;0;FB.1;Fibroblast;CXCL14;Fibroblasts
0;1,920012236;0,751;0,162;0;FB.1;Fibroblast;CCDC80;Fibroblasts
0;1,826976033;0,652;0,13;0;FB.1;Fibroblast;C1S;Fibroblasts
0;1,740096571;0,549;0,108;0;FB.1;Fibroblast;LRP1;Fibroblasts
0;1,725062076;0,882;0,168;0;FB.1;Fibroblast;DCN;Fibroblasts
0;1,664482618;0,275;0,028;0;FB.1;Fibroblast;ABCA10;Fibroblasts
0;1,659770286;0,37;0,064;0;FB.1;Fibroblast;NOVA1;Fibroblasts
0;1,627543166;0,298;0,038;0;FB.1;Fibroblast;ABCA8;Fibroblasts
0;1,603400278;0,725;0,277;0;FB.1;Fibroblast;MGP;Fibroblasts
