Cell Type;clust_basic;Gene;Subclust_name;Clust_num;Subcluster;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 1;MALAT1;Dendritic;1;1-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 1;HLA-DRA;Dendritic;1;1-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 1;HLA-DQB1;Dendritic;1;1-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 1;HLA-DPB1;Dendritic;1;1-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 1;GPR183;Dendritic;1;1-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 1;CD74;Dendritic;1;1-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 1;HLA-DQA1;Dendritic;1;1-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 1;PLEK;Dendritic;1;1-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 1;HLA-DPA1;Dendritic;1;1-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 1;HLA-DRB1;Dendritic;1;1-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 1;HLA-DRB5;Dendritic;1;1-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 1;NAP1L1;Dendritic;1;1-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 1;NEAT1;Dendritic;1;1-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 1;HLA-DMA;Dendritic;1;1-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 1;GNA15;Dendritic;1;1-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 1;SRGN;Dendritic;1;1-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 1;BID;Dendritic;1;1-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 1;CXCR4;Dendritic;1;1-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 1;LSP1;Dendritic;1;1-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 1;RPS11;Dendritic;1;1-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 1;SYNGR2;Dendritic;1;1-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 1;SEC61B;Dendritic;1;1-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 1;RPS29;Dendritic;1;1-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 1;RGS1;Dendritic;1;1-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 1;CD83;Dendritic;1;1-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 1;CSF2RA;Dendritic;1;1-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 1;SAT1;Dendritic;1;1-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 1;CYTIP;Dendritic;1;1-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 1;IL4I1;Dendritic;1;1-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 1;RPL27A;Dendritic;1;1-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 2;HSPA1A;Dendritic;2;2-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 2;HSPA1B;Dendritic;2;2-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 2;HLA-DRA;Dendritic;2;2-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 2;LST1;Dendritic;2;2-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 2;HLA-DQB1;Dendritic;2;2-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 2;HLA-DPB1;Dendritic;2;2-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 2;LYZ;Dendritic;2;2-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 2;HLA-DPA1;Dendritic;2;2-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 2;AIF1;Dendritic;2;2-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 2;CST3;Dendritic;2;2-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 2;HLA-DRB1;Dendritic;2;2-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 2;HLA-DQA1;Dendritic;2;2-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 2;HSPA6;Dendritic;2;2-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 2;CD74;Dendritic;2;2-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 2;IL1R2;Dendritic;2;2-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 2;FCER1A;Dendritic;2;2-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 2;HLA-DRB5;Dendritic;2;2-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 2;LGALS2;Dendritic;2;2-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 2;SGK1;Dendritic;2;2-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 2;RGS1;Dendritic;2;2-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 2;CLEC10A;Dendritic;2;2-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 2;HLA-DMA;Dendritic;2;2-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 2;CXCL8;Dendritic;2;2-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 2;CD83;Dendritic;2;2-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 2;FCER1G;Dendritic;2;2-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 2;DNAJB1;Dendritic;2;2-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dendritic cells (DC);Cluster 2;GPR183;Dendritic;2;2-Dendritic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
