Cell Type;Cluster;Marker;Subclust_name;Clust_num;Subcluster;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;SFRP2;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;FBLN1;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;DCN;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;MMP2;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;WIF1;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;PI16;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;WISP2;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;CXCL14;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;COL1A1;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;MFAP4;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;C1R;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;CTHRC1;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;COL6A2;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;COL1A2;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;COL6A1;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;CTSK;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;CFD;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;NBL1;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;CFH;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;SERPINF1;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;IGFBP4;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;FBLN2;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;SOD3;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;CLU;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;C1S;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;LUM;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;FHL1;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;PLAC9;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;PPAP2B;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;TIMP1;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;S100A6;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;CD9;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;GSN;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;PDGFRL;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;SERPING1;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;CYBRD1;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;ANGPTL5;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;THBS2;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;DPT;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;SLIT3;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;CD99;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;CPE;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;COL3A1;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;MGP;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;OSR2;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;COMP;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;FSTL1;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;PCOLCE2;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;MFAP5;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 1;PTGDS;Fibroblasts;1;Fibroblasts-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;APOD;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;CXCL12;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;GSN;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;CFD;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;MGP;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;CFH;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;C1S;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;DCN;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;RARRES2;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;CCDC80;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;SERPING1;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;C1R;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;LUM;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;SOD3;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;EFEMP1;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;IGFBP3;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;GPC3;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fibroblasts;Cluster 2;SERPINF1;Fibroblasts;2;Fibroblasts-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
