Cell Type;Cluster_Num;Marker;Subcluster
Fibroblasts;1;SFRP2;Fibroblasts-1
Fibroblasts;1;FBLN1;Fibroblasts-1
Fibroblasts;1;DCN;Fibroblasts-1
Fibroblasts;1;COMP;Fibroblasts-1
Fibroblasts;1;MMP2;Fibroblasts-1
Fibroblasts;1;COL1A1;Fibroblasts-1
Fibroblasts;1;COL3A1;Fibroblasts-1
Fibroblasts;1;COL1A2;Fibroblasts-1
Fibroblasts;1;WIF1;Fibroblasts-1
Fibroblasts;1;WISP2;Fibroblasts-1
Fibroblasts;1;COL6A2;Fibroblasts-1
Fibroblasts;1;CXCL14;Fibroblasts-1
Fibroblasts;1;CFD;Fibroblasts-1
Fibroblasts;1;COL6A1;Fibroblasts-1
Fibroblasts;1;CTHRC1;Fibroblasts-1
Fibroblasts;1;PI16;Fibroblasts-1
Fibroblasts;1;C1R;Fibroblasts-1
Fibroblasts;1;PTGDS;Fibroblasts-1
Fibroblasts;1;MFAP4;Fibroblasts-1
Fibroblasts;1;CTSK;Fibroblasts-1
Fibroblasts;1;SERPINF1;Fibroblasts-1
Fibroblasts;1;CFH;Fibroblasts-1
Fibroblasts;1;MFAP5;Fibroblasts-1
Fibroblasts;1;GSN;Fibroblasts-1
Fibroblasts;1;LUM;Fibroblasts-1
Fibroblasts;2;APOD;Fibroblasts-2
Fibroblasts;2;CXCL12;Fibroblasts-2
Fibroblasts;2;CFD;Fibroblasts-2
Fibroblasts;2;CFH;Fibroblasts-2
Fibroblasts;2;GSN;Fibroblasts-2
Fibroblasts;2;CCDC80;Fibroblasts-2
Fibroblasts;2;PTGDS;Fibroblasts-2
Fibroblasts;2;MGP;Fibroblasts-2
Fibroblasts;2;C1S;Fibroblasts-2
Fibroblasts;2;APOE;Fibroblasts-2
Fibroblasts;2;IGFBP6;Fibroblasts-2
Fibroblasts;2;IGFBP3;Fibroblasts-2
Fibroblasts;2;DCN;Fibroblasts-2
Fibroblasts;2;SERPING1;Fibroblasts-2
Fibroblasts;2;GPC3;Fibroblasts-2
