"sample","analysis_stage","cells"
"Fresh_S1","01_Raw",1592537
"Fresh_S2","01_Raw",1375442
"Sole_Boldo_S396","01_Raw",346533
"Sole_Boldo_S397","01_Raw",252216
"Sole_Boldo_S398","01_Raw",276650
"Sole_Boldo_S399","01_Raw",335605
"Sole_Boldo_S400","01_Raw",285569
"He_S62","01_Raw",474511
"He_S64","01_Raw",279052
"He_S67","01_Raw",450871
"He_S68","01_Raw",191566
"He_S70","01_Raw",312688
"He_S71","01_Raw",177976
"He_S75","01_Raw",179179
"Tabib_S1","01_Raw",737280
"Tabib_S4","01_Raw",737280
"Tabib_S18","01_Raw",737280
"Tabib_S32","01_Raw",737280
"Tabib_S33","01_Raw",737280
"Tabib_S34","01_Raw",737280
"Tabib_S50","01_Raw",737280
"Tabib_S68","01_Raw",737280
"Tabib_S124","01_Raw",737280
"Tabib_S125","01_Raw",737280
"Fresh_S1","02_Crude_filtering",5324
"Fresh_S2","02_Crude_filtering",6547
"Sole_Boldo_S396","02_Crude_filtering",16534
"Sole_Boldo_S397","02_Crude_filtering",3952
"Sole_Boldo_S398","02_Crude_filtering",6677
"Sole_Boldo_S399","02_Crude_filtering",7080
"Sole_Boldo_S400","02_Crude_filtering",7139
"He_S62","02_Crude_filtering",10718
"He_S64","02_Crude_filtering",4975
"He_S67","02_Crude_filtering",11609
"He_S68","02_Crude_filtering",1456
"He_S70","02_Crude_filtering",3270
"He_S71","02_Crude_filtering",368
"He_S75","02_Crude_filtering",1691
"Tabib_S1","02_Crude_filtering",1816
"Tabib_S4","02_Crude_filtering",5000
"Tabib_S18","02_Crude_filtering",3525
"Tabib_S32","02_Crude_filtering",2172
"Tabib_S33","02_Crude_filtering",2373
"Tabib_S34","02_Crude_filtering",2499
"Tabib_S50","02_Crude_filtering",4690
"Tabib_S68","02_Crude_filtering",2456
"Tabib_S124","02_Crude_filtering",5339
"Tabib_S125","02_Crude_filtering",3645
"Tabib_S1","03_Common_genes_subset",1816
"Tabib_S4","03_Common_genes_subset",5000
"Tabib_S18","03_Common_genes_subset",3525
"Tabib_S32","03_Common_genes_subset",2172
"Tabib_S33","03_Common_genes_subset",2373
"Tabib_S34","03_Common_genes_subset",2499
"Tabib_S50","03_Common_genes_subset",4690
"Tabib_S68","03_Common_genes_subset",2456
"Tabib_S124","03_Common_genes_subset",5339
"Tabib_S125","03_Common_genes_subset",3645
"Sole_Boldo_S396","03_Common_genes_subset",16534
"Sole_Boldo_S397","03_Common_genes_subset",3952
"Sole_Boldo_S398","03_Common_genes_subset",6677
"Sole_Boldo_S399","03_Common_genes_subset",7080
"Sole_Boldo_S400","03_Common_genes_subset",7139
"He_S62","03_Common_genes_subset",10718
"He_S64","03_Common_genes_subset",4975
"He_S67","03_Common_genes_subset",11609
"He_S68","03_Common_genes_subset",1456
"He_S70","03_Common_genes_subset",3270
"He_S71","03_Common_genes_subset",368
"He_S75","03_Common_genes_subset",1691
"Fresh_S1","03_Common_genes_subset",5324
"Fresh_S2","03_Common_genes_subset",6547
"Tabib_S1","04_Doublet_detection",1767
"Tabib_S4","04_Doublet_detection",4658
"Tabib_S18","04_Doublet_detection",3347
"Tabib_S32","04_Doublet_detection",2095
"Tabib_S33","04_Doublet_detection",2298
"Tabib_S34","04_Doublet_detection",2412
"Tabib_S50","04_Doublet_detection",4394
"Tabib_S68","04_Doublet_detection",2376
"Tabib_S124","04_Doublet_detection",4966
"Tabib_S125","04_Doublet_detection",3467
"Sole_Boldo_S396","04_Doublet_detection",14582
"Sole_Boldo_S397","04_Doublet_detection",3734
"Sole_Boldo_S398","04_Doublet_detection",6072
"Sole_Boldo_S399","04_Doublet_detection",6374
"Sole_Boldo_S400","04_Doublet_detection",6386
"He_S62","04_Doublet_detection",9134
"He_S64","04_Doublet_detection",4614
"He_S67","04_Doublet_detection",9809
"He_S68","04_Doublet_detection",1396
"He_S70","04_Doublet_detection",3118
"He_S71","04_Doublet_detection",368
"He_S75","04_Doublet_detection",1644
"Fresh_S1","04_Doublet_detection",4924
"Fresh_S2","04_Doublet_detection",5964
"Tabib_S1","05_Post_QC",924
"Tabib_S4","05_Post_QC",1386
"Tabib_S18","05_Post_QC",2294
"Tabib_S32","05_Post_QC",1322
"Tabib_S33","05_Post_QC",1522
"Tabib_S34","05_Post_QC",1198
"Tabib_S50","05_Post_QC",2348
"Tabib_S68","05_Post_QC",1531
"Tabib_S124","05_Post_QC",3186
"Tabib_S125","05_Post_QC",2234
"Sole_Boldo_S396","05_Post_QC",3622
"Sole_Boldo_S397","05_Post_QC",2482
"Sole_Boldo_S398","05_Post_QC",4354
"Sole_Boldo_S399","05_Post_QC",3861
"Sole_Boldo_S400","05_Post_QC",3482
"He_S62","05_Post_QC",4225
"He_S64","05_Post_QC",1913
"He_S67","05_Post_QC",3298
"He_S68","05_Post_QC",631
"He_S70","05_Post_QC",1645
"He_S71","05_Post_QC",184
"He_S75","05_Post_QC",873
"Fresh_S1","05_Post_QC",4199
"Fresh_S2","05_Post_QC",3907
