"","counts","abundances","Protocol","Cluster"
"1",280,0.303030303030303,"Tabib_et_al","Fibroblasts"
"2",819,0.257062146892655,"Tabib_et_al","Fibroblasts"
"3",476,0.21307072515667,"Tabib_et_al","Fibroblasts"
"4",734,0.319965126416739,"Tabib_et_al","Fibroblasts"
"5",688,0.520423600605144,"Tabib_et_al","Fibroblasts"
"6",857,0.563074901445466,"Tabib_et_al","Fibroblasts"
"7",96,0.0801335559265442,"Tabib_et_al","Fibroblasts"
"8",271,0.195526695526696,"Tabib_et_al","Fibroblasts"
"9",312,0.132879045996593,"Tabib_et_al","Fibroblasts"
"10",712,0.465055519268452,"Tabib_et_al","Fibroblasts"
"11",1043,0.287962451684152,"Sole_Boldo_et_al","Fibroblasts"
"12",860,0.346494762288477,"Sole_Boldo_et_al","Fibroblasts"
"13",1277,0.29329352319706,"Sole_Boldo_et_al","Fibroblasts"
"14",1541,0.399119399119399,"Sole_Boldo_et_al","Fibroblasts"
"15",1732,0.497415278575531,"Sole_Boldo_et_al","Fibroblasts"
"16",1790,0.423668639053254,"He_et_al","Fibroblasts"
"17",315,0.16466283324621,"He_et_al","Fibroblasts"
"18",376,0.114008489993936,"He_et_al","Fibroblasts"
"19",52,0.0824088748019017,"He_et_al","Fibroblasts"
"20",151,0.0917933130699088,"He_et_al","Fibroblasts"
"21",51,0.277173913043478,"He_et_al","Fibroblasts"
"22",178,0.20389461626575,"He_et_al","Fibroblasts"
"23",1116,0.265777566087164,"Fresh","Fibroblasts"
"24",1567,0.401074993601229,"Fresh","Fibroblasts"
"25",359,0.388528138528139,"Tabib_et_al","Keratinocytes"
"26",1182,0.370998116760829,"Tabib_et_al","Keratinocytes"
"27",924,0.4136078782453,"Tabib_et_al","Keratinocytes"
"28",907,0.39537925021796,"Tabib_et_al","Keratinocytes"
"29",110,0.0832072617246596,"Tabib_et_al","Keratinocytes"
"30",180,0.11826544021025,"Tabib_et_al","Keratinocytes"
"31",514,0.429048414023372,"Tabib_et_al","Keratinocytes"
"32",402,0.29004329004329,"Tabib_et_al","Keratinocytes"
"33",630,0.268313458262351,"Tabib_et_al","Keratinocytes"
"34",236,0.154147615937296,"Tabib_et_al","Keratinocytes"
"35",431,0.118995030369961,"Sole_Boldo_et_al","Keratinocytes"
"36",131,0.0527800161160355,"Sole_Boldo_et_al","Keratinocytes"
"37",787,0.180753330271015,"Sole_Boldo_et_al","Keratinocytes"
"38",1092,0.282828282828283,"Sole_Boldo_et_al","Keratinocytes"
"39",576,0.165422171165997,"Sole_Boldo_et_al","Keratinocytes"
"40",489,0.115739644970414,"He_et_al","Keratinocytes"
"41",53,0.0277051751176163,"He_et_al","Keratinocytes"
"42",1309,0.396907216494845,"He_et_al","Keratinocytes"
"43",117,0.185419968304279,"He_et_al","Keratinocytes"
"44",448,0.272340425531915,"He_et_al","Keratinocytes"
"45",4,0.0217391304347826,"He_et_al","Keratinocytes"
"46",117,0.134020618556701,"He_et_al","Keratinocytes"
"47",1162,0.276732555370326,"Fresh","Keratinocytes"
"48",467,0.119529050422319,"Fresh","Keratinocytes"
"49",53,0.0573593073593074,"Tabib_et_al","T cells"
"50",77,0.0241682360326428,"Tabib_et_al","T cells"
"51",54,0.0241718889883617,"Tabib_et_al","T cells"
"52",111,0.0483870967741935,"Tabib_et_al","T cells"
"53",105,0.0794251134644478,"Tabib_et_al","T cells"
"54",137,0.0900131406044678,"Tabib_et_al","T cells"
"55",20,0.01669449081803,"Tabib_et_al","T cells"
"56",30,0.0216450216450216,"Tabib_et_al","T cells"
"57",38,0.0161839863713799,"Tabib_et_al","T cells"
"58",52,0.0339647289353364,"Tabib_et_al","T cells"
"59",811,0.223909442297073,"Sole_Boldo_et_al","T cells"
"60",464,0.186946011281225,"Sole_Boldo_et_al","T cells"
"61",485,0.111391823610473,"Sole_Boldo_et_al","T cells"
"62",54,0.013986013986014,"Sole_Boldo_et_al","T cells"
"63",40,0.0114876507754164,"Sole_Boldo_et_al","T cells"
"64",258,0.0610650887573964,"He_et_al","T cells"
"65",18,0.00940930475692629,"He_et_al","T cells"
"66",350,0.106124924196483,"He_et_al","T cells"
"67",22,0.03486529318542,"He_et_al","T cells"
"68",85,0.0516717325227964,"He_et_al","T cells"
"69",18,0.0978260869565217,"He_et_al","T cells"
"70",156,0.178694158075601,"He_et_al","T cells"
"71",295,0.070254822576804,"Fresh","T cells"
"72",473,0.121064755566931,"Fresh","T cells"
"73",63,0.0681818181818182,"Tabib_et_al","Vascular endothelial"
"74",434,0.136220966729441,"Tabib_et_al","Vascular endothelial"
"75",180,0.0805729632945389,"Tabib_et_al","Vascular endothelial"
"76",112,0.048823016564952,"Tabib_et_al","Vascular endothelial"
"77",124,0.0937972768532526,"Tabib_et_al","Vascular endothelial"
"78",79,0.0519053876478318,"Tabib_et_al","Vascular endothelial"
"79",239,0.199499165275459,"Tabib_et_al","Vascular endothelial"
"80",307,0.221500721500722,"Tabib_et_al","Vascular endothelial"
"81",449,0.191226575809199,"Tabib_et_al","Vascular endothelial"
"82",137,0.0894839973873285,"Tabib_et_al","Vascular endothelial"
"83",196,0.0541137493097736,"Sole_Boldo_et_al","Vascular endothelial"
"84",292,0.117647058823529,"Sole_Boldo_et_al","Vascular endothelial"
"85",590,0.135507579237483,"Sole_Boldo_et_al","Vascular endothelial"
"86",420,0.108780108780109,"Sole_Boldo_et_al","Vascular endothelial"
"87",248,0.0712234348075819,"Sole_Boldo_et_al","Vascular endothelial"
"88",982,0.232426035502959,"He_et_al","Vascular endothelial"
"89",882,0.461055933089388,"He_et_al","Vascular endothelial"
"90",851,0.258035172832019,"He_et_al","Vascular endothelial"
"91",250,0.396196513470681,"He_et_al","Vascular endothelial"
"92",719,0.437082066869301,"He_et_al","Vascular endothelial"
"93",90,0.489130434782609,"He_et_al","Vascular endothelial"
"94",265,0.303550973654066,"He_et_al","Vascular endothelial"
"95",865,0.206001428911646,"Fresh","Vascular endothelial"
"96",566,0.144868185308421,"Fresh","Vascular endothelial"
"97",106,0.114718614718615,"Tabib_et_al","Pericytes/VSMC"
"98",479,0.150345260514752,"Tabib_et_al","Pericytes/VSMC"
"99",464,0.207699194270367,"Tabib_et_al","Pericytes/VSMC"
"100",257,0.112031386224935,"Tabib_et_al","Pericytes/VSMC"
"101",164,0.124054462934947,"Tabib_et_al","Pericytes/VSMC"
"102",128,0.0840998685939553,"Tabib_et_al","Pericytes/VSMC"
