"","Sample","Library_Size_median","Num_Genes_median","Library_Size_mean","Num_Genes_mean"
"1","Tabib_S1",3685.5,654.5,5019.76515151515,749.900432900433
"2","Tabib_S124",4569.5,661,7072.35153797866,819.553672316384
"3","Tabib_S125",6326.5,688.5,9611.39301700985,801.303043867502
"4","Tabib_S18",4265,663.5,6088.86006974717,784.553618134263
"5","Tabib_S32",3590,650.5,4427.27382753404,721.874432677761
"6","Tabib_S33",3829,604,4786.34296977661,662.874507227332
"7","Tabib_S34",3267,614,4698.78046744574,713.9816360601
"8","Tabib_S4",2722.5,645,4397.8189033189,825.059884559885
"9","Tabib_S50",2880,725.5,5675.60093696763,1045.55025553663
"10","Tabib_S68",3202,744,5583.43566296538,949.697583278903
"11","Sole_Boldo_S396",2316.5,715.5,3428.88928768636,845.841800110436
"12","Sole_Boldo_S397",2596.5,752,3285.35253827558,816.114020950846
"13","Sole_Boldo_S398",2312.5,744,3231.68925126321,859.101286173633
"14","Sole_Boldo_S399",1663,742,2836.07536907537,933.904687904688
"15","Sole_Boldo_S400",1551,726,2042.61947156806,835.726593911545
"16","He_S62",1860,833,3742.15360946746,1109.43526627219
"17","He_S64",1545,771,2278.05436487193,966.00156821746
"18","He_S67",2032,721,4348.93298969072,1023.11158277744
"19","He_S68",2029,756,4419.99366085578,1117.10459587956
"20","He_S70",2149,798,4692.39696048632,1162.76534954407
"21","He_S71",1751,898,3129.94565217391,1122.58695652174
"22","He_S75",2069,743,3808.10767468499,1001.59335624284
"23","Fresh_S1",8103,804,9685.9854727316,845.613003095975
"24","Fresh_S2",6409,845,8334.75377527515,921.871000767853
