"","Sample","Library_Size_median","Num_Genes_median","Library_Size_mean","Num_Genes_mean"
"1","Tabib_S1",3685.5,1081,5019.76515151515,1219.39935064935
"2","Tabib_S124",4569.5,1403.5,7072.35153797866,1660.71531701193
"3","Tabib_S125",6326.5,1798,9611.39301700985,1978.54521038496
"4","Tabib_S18",4265,1268.5,6088.86006974717,1454.7641673932
"5","Tabib_S32",3590,1022,4427.27382753404,1121.37821482602
"6","Tabib_S33",3829,991,4786.34296977661,1077.95137976347
"7","Tabib_S34",3267,932.5,4698.78046744574,1077.08013355593
"8","Tabib_S4",2722.5,920,4397.8189033189,1158.89826839827
"9","Tabib_S50",2880,1136.5,5675.60093696763,1568.96933560477
"10","Tabib_S68",3202,1241,5583.43566296538,1536.97648595689
"11","Sole_Boldo_S396",2316.5,957,3428.88928768636,1116.50055218112
"12","Sole_Boldo_S397",2596.5,1095.5,3285.35253827558,1168.68211120064
"13","Sole_Boldo_S398",2312.5,987,3231.68925126321,1134.06247129077
"14","Sole_Boldo_S399",1663,781,2836.07536907537,981.85236985237
"15","Sole_Boldo_S400",1551,729,2042.61947156806,838.027570361861
"16","He_S62",1860,957,3742.15360946746,1260.63573964497
"17","He_S64",1545,771,2278.05436487193,966.00156821746
"18","He_S67",2032,881,4348.93298969072,1233.75288053366
"19","He_S68",2029,928,4419.99366085578,1342.04912836767
"20","He_S70",2149,1020,4692.39696048632,1449.14468085106
"21","He_S71",1751,989,3129.94565217391,1226.59239130435
"22","He_S75",2069,923,3808.10767468499,1225.10767468499
"23","Fresh_S1",8103,2469,9685.9854727316,2508.77708978328
"24","Fresh_S2",6409,2265,8334.75377527515,2340.1359099053
